ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s],b11,b21,b31,b41,DVL X [m/s],DVL Y [m/s],DVL Z [m/s]
-0.000495,-0.000754,-0.097542,-9.8e-05,2e-06,-0.000712,0.5641572408293245,-0.43698533506892573,-0.5833146090926079,0.40938180662160983,2.063531806,0.309275714,-0.012977276
-0.000675,-0.000237,-0.097565,3.9e-05,2e-06,-0.000639,0.5567217847376661,-0.45018955170318947,-0.5657476804773995,0.44127918561675294,2.085343561,0.23947332,-0.004869639
-0.000801,-0.000709,-0.097785,-2.1e-05,1.6e-05,-0.000533,0.5605782434642999,-0.4554070216833567,-0.5492589012149857,0.47783346516191744,2.109965184,0.178374255,0.009354085
-0.000581,0.000506,-0.097641,-1.7e-05,2.8e-05,-0.000403,0.5627525235258674,-0.4661409330148526,-0.5253324128522737,0.5047145249231343,2.130226242,0.117221876,0.01848724
-0.000261,-0.000179,-0.097947,6.6e-05,3.6e-05,-0.000278,0.559817808289021,-0.4812082913421424,-0.526421290954025,0.5131230462098522,2.151526222,0.086416213,0.015351178
8.2e-05,0.000741,-0.098377,-4.4e-05,2.1e-05,-0.000171,0.5414861403862643,-0.5142100001531765,-0.5304336266186908,0.5180780221087599,2.175857941,0.041198704,0.001992502
1.1e-05,0.000563,-0.098362,4.4e-05,-3e-06,-7.5e-05,0.5258649165758317,-0.5358637465095644,-0.5372969673700029,0.5220297081833978,2.195061689,0.002421441,-0.008283544
0.000252,0.000826,-0.098458,-9e-06,-1.1e-05,-2e-06,0.5156444362585005,-0.5636807967209727,-0.5409811653411949,0.5312569476177313,2.228732331,-0.037627259,-0.01759283
-9.3e-05,0.000625,-0.098149,8.5e-05,-2.1e-05,7.8e-05,0.5141140059067827,-0.5725009484719844,-0.5456636778679345,0.5419312739343667,2.249958511,-0.059765026,-0.015623921
-7.8e-05,0.00036,-0.098437,-4.6e-05,-2.2e-05,0.000134,0.5126750395791483,-0.5763971329839928,-0.5430948561663801,0.5436562177704072,2.257290751,-0.069790127,-0.017691892
-0.000339,0.000579,-0.098266,1.4e-05,-2.3e-05,0.000153,0.5203676516456623,-0.5765183250355924,-0.529608923606873,0.5679267017025252,2.269992436,-0.100694961,-0.004452365
-0.000688,0.001603,-0.097816,-6.8e-05,-1e-06,0.000175,0.47641104576710636,-0.6075331018061967,-0.47909960831630316,0.6073922541729303,2.24379591,-0.264971738,-0.000224044
-0.001743,-0.004385,-0.098228,9.8e-05,-3.8e-05,0.000826,0.36293596298418057,-0.5823317336043013,-0.17636192887857177,0.769619051159682,1.962796457,-0.836767433,0.098027665
0.001998,0.003761,-0.101581,0.000206,0.000332,0.003044,0.259737919447894,-0.5939333362576096,-0.24949268000626623,0.6074411289820892,1.773230195,-0.717713683,0.004739099
0.001964,-0.001775,-0.097639,0.001155,4.3e-05,0.002646,0.21692836376828262,-0.5773573920884619,-0.29665466270863705,0.4996705653362282,1.642883551,-0.584932545,-0.04383432
0.001108,0.004973,-0.097827,-0.001088,1.1e-05,0.002311,0.2499404988527685,-0.5159032538341117,-0.28032052335423097,0.48611295736065424,1.57975221,-0.491782793,-0.018085116
0.00186,-0.004232,-0.099599,0.001125,4.9e-05,0.002049,0.3031645464608294,-0.4570071311521934,-0.2832080190949386,0.48088396031948144,1.576156018,-0.36252602,0.011514699
0.000847,-0.004396,-0.097891,-0.000859,6.7e-05,0.001815,0.3527272708172814,-0.43285020146854447,-0.2876349720516414,0.4927292928505516,1.614474059,-0.298498567,0.032803941
0.00169,0.001266,-0.099201,0.000319,8.1e-05,0.001668,0.3755372508109266,-0.44264089399091355,-0.3299407896910505,0.48996446468286964,1.694542084,-0.231089635,0.024311516
0.002045,-0.005439,-0.098931,0.000252,9.3e-05,0.001512,0.38133980613071883,-0.4719204658554961,-0.38612656281284696,0.46848251696714044,1.766050026,-0.179678714,-0.003551419
0.001353,-0.000377,-0.098576,-0.000218,1.9e-05,0.001391,0.39989973908337567,-0.48943935063160343,-0.432047564027405,0.46446806907500077,1.840435732,-0.122450778,-0.018147691
0.001176,-0.000895,-0.098342,0.00021,-1e-06,0.00121,0.45748795492885425,-0.4772174716494148,-0.45416324585615503,0.47784015005115416,1.925511489,-0.042697107,-0.001125169
0.00106,-0.000919,-0.098089,-0.000117,2.2e-05,0.000947,0.5102760340210999,-0.47162659859873973,-0.4869320162835118,0.4942929884812196,2.028720694,0.029328352,0.01174499
0.001071,-0.000737,-0.098158,2.3e-05,3.1e-05,0.000666,0.5631705746755855,-0.466087763292952,-0.5264485756421245,0.498735429959551,2.131620399,0.124462873,0.018481021
0.001356,-0.000225,-0.098244,-0.000159,2.7e-05,0.000372,0.6008052419283593,-0.4734793815782941,-0.5807809167029502,0.4892713024753764,2.219916767,0.228087358,0.008926743
0.001204,0.000205,-0.097754,7.5e-05,3.9e-05,4.6e-05,0.6360977510770176,-0.4692564551312948,-0.652946810623617,0.4507353155466685,2.283076275,0.377639016,-0.008717167
0.000914,-0.000717,-0.098001,-0.000105,-5e-06,-0.000312,0.6774182756558508,-0.4499649313888371,-0.6932461211151609,0.4316451129327245,2.32488834,0.506716648,-0.00890986
0.001089,-0.000873,-0.09787,-7.8e-05,-2.3e-05,-0.000601,0.7167183670587726,-0.4183882828406307,-0.7098302541449086,0.4245100865408983,2.348206862,0.613904524,0.001188225
0.000605,-0.000902,-0.098137,-0.000126,-3.1e-05,-0.000835,0.7472070093693685,-0.3923236331658009,-0.7261620124313565,0.41366001099448335,2.359685643,0.684111178,0.010318984
0.000736,-0.00098,-0.098588,5e-06,-8e-06,-0.00094,0.738889082187163,-0.39164541946088705,-0.7507433652908762,0.3842036467428136,2.342362022,0.739524558,-0.005974754
0.000956,-0.000972,-0.098821,-8.3e-05,-1.3e-05,-0.000994,0.7286534346160572,-0.3951215542261089,-0.7600724779395004,0.3611305922786801,2.325424486,0.763159352,-0.019196331
0.000579,-0.000352,-0.098603,-0.00011,-5.2e-05,-0.000982,0.7278440907578596,-0.3822750267770528,-0.738861510725245,0.3656709328375487,2.292518999,0.742552757,-0.007830509
0.000185,-0.001205,-0.098046,0.000142,-2.1e-05,-0.000893,0.7362841553389546,-0.3629687172916723,-0.7081414893758732,0.3942881705918501,2.276482756,0.701193419,0.012671337
6.4e-05,-0.001119,-0.098126,-3e-05,1.4e-05,-0.000743,0.7201651678322489,-0.3928154081309648,-0.7036618465079397,0.4083083298092548,2.292339141,0.642873636,0.006498237
0.0002,-0.000811,-0.098691,2.9e-05,1.1e-05,-0.00058,0.6933025353150538,-0.4238780373494475,-0.7010443102550737,0.4138197080174629,2.307575823,0.573707625,-0.003755619
