Time [s],Longitude [rad],Latitude [rad],Altitude [m],V North [m/s],V East [m/s],V Down [m/s],Roll [rad],Pitch [rad],Yaw [rad],DVL X [m/s],DVL Y [m/s],DVL Z [m/s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
0.0,0.6089844335224215,0.573337071406794,-19.859909,-1.929191,-0.641182,0.006672,-0.0049567350756638,-0.0059690260418205,-2.938959909979959,2.0635318058026133,0.3092757144086316,-0.012977275639956,-0.0004949999999999,-0.0007539999999999,-0.097542,-9.799999999999996e-05,2.0000000000000435e-06,-0.000712
1.0,0.6089843305479956,0.573336758469259,-19.867016,-1.989434,-0.476583,0.004822,-0.0140673537710742,-0.0075398223686153,-3.009610925367152,2.08534356091902,0.2394733204437852,-0.0048696387143013,-0.0006749999999999,-0.0002369999999999,-0.097565,3.900000000000004e-05,2.000000000000039e-06,-0.000639
2.01,0.6089842589894964,0.5733364362814791,-19.873699,-2.037641,-0.309663,0.009325,-0.0081506876068135,-0.0090582588178504,-3.072093468242454,2.109965184065437,0.1783742546771026,0.0093540847811274,-0.0003209999999999,-0.0010529999999999,-0.098076,-5.999999999999968e-06,-3.999999999999968e-06,-0.000525
3.01,0.6089842186723905,0.573336107635981,-19.887194,-2.07378,-0.160386,0.017127,-0.010751228192285,-0.0087266462599715,-3.124034693674608,2.130226242407651,0.1172218762575101,0.0184872403957221,-0.0002579999999999,0.000161,-0.097954,-6.999999999999976e-06,1.3000000000000025e-05,-0.000392
4.01,0.6089842057569541,0.5733357737544951,-19.911047,-2.102422,-0.038982,0.025785,-0.0110130275800842,-0.0069813170079773,3.1200902844716856,2.151526221665845,0.0864162133852129,0.015351178438609,-0.0001009999999999,-0.0007409999999999,-0.098161,6.100000000000001e-05,2.1000000000000016e-05,-0.000273
5.01,0.6089842134364029,0.573335435509686,-19.93936,-2.124815,0.04721,0.025236,-0.0103323491718064,-0.0041364303272264,3.093107406969391,2.175857941450782,0.0411987038486836,0.0019925021336309,-0.0001669999999999,0.000192,-0.098177,-2.699999999999999e-05,8.00000000000001e-06,-0.000169
6.02,0.6089842350784855,0.5733350942978173,-19.961788,-2.144152,0.106313,0.0149,-0.0108035880698448,-0.002094395102393,3.0766141851643845,2.195061688541329,0.002421441228814,-0.0082835444988038,6.400000000000603e-05,3.000000000006027e-06,-0.098431,6.1000000000000005e-05,-5.999999999999996e-06,-7.4e-05
7.02,0.6089842652726816,0.5733347508170205,-19.971588,-2.162604,0.146749,0.002068,-0.0083601271170528,-0.0018500490071138,3.069458265418038,2.228732331099483,-0.0376272589842778,-0.0175928295391787,-9.3999999999994e-05,0.000134,-0.098106,-9.999999999999995e-07,-8e-06,-3.0000000000000005e-06
8.02,0.6089842989575361,0.5733344047182298,-19.971121,-2.182909,0.171055,-0.004726,-0.0114842664781226,-0.0026703537555512,3.0696153974105944,2.2499585110876352,-0.0597650259385112,-0.015623921366962,8.1000000000006e-05,0.000541,-0.097729,9.5e-05,-1.4000000000000003e-05,7.6e-05
9.02,0.6089843356094504,0.5733340551287807,-19.96789,-2.206749,0.174899,-0.004531,-0.0038920842319473,-0.0043109632524258,3.0775215294826186,2.257290750787296,-0.0697901273988304,-0.0176918915546148,-0.0002199999999999,0.000219,-0.09756,-4.800000000000001e-05,-6.000000000000008e-06,0.00013
10.03,0.6089843715632329,0.573333702048673,-19.966045,-2.227158,0.161244,-0.002442,-0.0048171087355043,-0.0058293997016609,3.090751037946273,2.2699924360689483,-0.1006949606176832,-0.0044523647609279,-0.0003609999999999,0.001249,-0.097492,8.999999999999992e-06,-9.000000000000009e-06,0.000149
11.03,0.6089844047244888,0.5733333451288409,-19.969362,-2.239458,0.138572,0.006496,-0.0086742863824118,-0.0069115038378975,3.10630204375459,2.2437959102260456,-0.2649717382442974,-0.0002240438911187,-0.0004789999999999,0.002129,-0.097777,-5.700000000000002e-05,4.99999999999999e-06,0.00017
12.03,0.6089844305553618,0.5733329868127455,-19.985052,-2.242814,0.101236,0.022089,-0.0131248759749973,-0.00609119908946,3.1234759614211667,1.9627964568717653,-0.8367674334915356,0.0980276650422288,-0.0017139999999999,-0.0037769999999999,-0.09785,7.999999999999995e-05,-3.300000000000006e-05,0.000906
13.03,0.608984446437858,0.5733326373978292,-20.015512,-2.088961,0.007983,0.040297,-0.00923279174305,-0.0001570796326795,-3.042789651900857,1.7732301953522944,-0.717713683498331,0.0047390985558318,0.001577,0.005977,-0.100055,0.0001629999999999,0.0003409999999999,0.003083
14.04,0.6089844106586082,0.5733323295217492,-20.019623,-1.775735,-0.455404,-0.037497,0.0269653369433123,0.0268257106031528,-2.7472354916483823,1.6428835506567845,-0.5849325453043268,-0.0438343204254109,0.002056,-0.0019049999999999,-0.096572,0.0009739999999999,6.499999999999983e-05,0.002627
15.04,0.6089843115239069,0.5733320764490076,-19.965492,-1.441507,-0.874935,-0.061752,0.0645771823237902,0.0100007366139276,-2.484388941204621,1.5797522102372226,-0.4917827927340908,-0.0180851160700683,0.000998,0.006311,-0.097546,-0.000963,1.099999999999986e-05,0.002289
16.04,0.6089841607274594,0.5733318924913045,-19.909838,-1.094613,-1.146108,-0.053509,0.018762289458939,0.008325220532013,-2.2565888115804165,1.5761560178704532,-0.3625260201652233,0.0115146985161963,0.002076,-0.0044119999999999,-0.099587,0.0010149999999999,5.299999999999988e-05,0.002039
17.04,0.608983923537214,0.5733317594972155,-19.86515,-0.774255,-1.34793,-0.03217,0.0937067275395755,-0.0005061454830783,-2.0549853758969463,1.614474058725348,-0.2984985674345862,0.0328039408669391,0.001076,-0.0040809999999999,-0.098309,-0.000918,7.799999999999989e-05,0.001808
18.05,0.6089836542329105,0.5733316704854237,-19.861099,-0.471191,-1.505276,0.011289,0.0135786615805158,-0.0022514747350725,-1.874361530860733,1.6945420835582674,-0.2310896351681069,0.0243115162397688,0.001314,0.001632,-0.09833,0.0003649999999999,8.999999999999991e-05,0.001656
19.05,0.6089833575269377,0.5733316235360667,-19.875912,-0.183405,-1.641513,0.009348,0.0488343124708013,0.0041538836197465,-1.7093925561766243,1.766050025657134,-0.1796787137403393,-0.00355141859727,0.001554,-0.0051849999999999,-0.098171,8.89999999999999e-05,0.0001039999999999,0.001504
20.05,0.6089830360372894,0.5733316207435399,-19.878002,0.09604,-1.732396,-0.01027,0.0494451777089993,0.0034557519189488,-1.5591029175125073,1.840435731951498,-0.1224507782037887,-0.0181476910773584,0.001518,-0.0002099999999999,-0.098754,-0.000159,1.899999999999992e-05,0.001379
