Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,ACC X_1,ACC Y_1,ACC Z_1,GYRO X_1,GYRO Y_1,GYRO Z_1,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,V North,V East,V Down
2.01,-0.0006269999999999,-0.0026429999999999,-0.097785,9.999999999999866e-07,1.9999999999999864e-06,0.000218,-0.0003499999999999,-0.0029049999999999,-0.098019,-2.600000000000001e-05,4.999999999999988e-06,0.000214,0.3867922570492605,-0.46823291919869964,-0.41467751494250626,0.44034766130545394,0.3871979967860368,-0.4649542395262813,-0.41697149437409065,0.4351807419382274,1.751861,0.185752,-0.008214
3.01,-0.0006489999999999,-0.0029739999999999,-0.097864,4.999999999999999e-05,-8.000000000000013e-06,0.000217,-0.0006269999999999,-0.0026429999999999,-0.097785,9.999999999999866e-07,1.9999999999999864e-06,0.000218,0.3857231012996175,-0.46803398076100516,-0.40395054090944876,0.4498065411511739,0.3867922570492605,-0.46823291919869964,-0.41467751494250626,0.44034766130545394,1.751592,0.217928,-0.002359
4.01,-0.0008389999999999,-0.0034299999999999,-0.097919,4.399999999999999e-05,-2.000000000000013e-06,0.000211,-0.0006489999999999,-0.0029739999999999,-0.097864,4.999999999999999e-05,-8.000000000000013e-06,0.000217,0.38901590326664226,-0.47099383400082334,-0.4111904041993631,0.4488193330681025,0.3857231012996175,-0.46803398076100516,-0.40395054090944876,0.4498065411511739,1.747844,0.243991,0.004721
5.01,-0.0006999999999999,-0.0027589999999999,-0.097968,-2.900000000000001e-05,7.999999999999986e-06,0.000212,-0.0008389999999999,-0.0034299999999999,-0.097919,4.399999999999999e-05,-2.000000000000013e-06,0.000211,0.3884918971374519,-0.4757325953925068,-0.4145776608415785,0.4496468316883802,0.38901590326664226,-0.47099383400082334,-0.4111904041993631,0.4488193330681025,1.748516,0.273351,0.005179
6.02,-0.0008739999999999,-0.0033499999999999,-0.097974,3.1999999999999985e-05,1.0999999999999986e-05,0.000213,-0.0006999999999999,-0.0027589999999999,-0.097968,-2.900000000000001e-05,7.999999999999986e-06,0.000212,0.3921768928057371,-0.47768209973471476,-0.4144922409512472,0.4553667515892047,0.3884918971374519,-0.4757325953925068,-0.4145776608415785,0.4496468316883802,1.75274,0.311999,1.2e-05
7.02,-0.0008529999999999,-0.0032599999999999,-0.097907,-3.000000000000013e-06,4.999999999999988e-06,0.000211,-0.0008739999999999,-0.0033499999999999,-0.097974,3.1999999999999985e-05,1.0999999999999986e-05,0.000213,0.3936066094554655,-0.4759593613017791,-0.4082110940718666,0.461354876685378,0.3921768928057371,-0.47768209973471476,-0.4144922409512472,0.4553667515892047,1.755033,0.353422,-0.00093
8.02,-0.0009019999999999,-0.0029759999999999,-0.097712,-6.300000000000001e-05,-1.2552629691260371e-20,0.000205,-0.0008529999999999,-0.0032599999999999,-0.097907,-3.000000000000013e-06,4.999999999999988e-06,0.000211,0.3894612082188799,-0.4819708262008627,-0.40408239382144046,0.4673496405983022,0.3936066094554655,-0.4759593613017791,-0.4082110940718666,0.461354876685378,1.754826,0.38336,0.005044
9.02,-0.0008879999999999,-0.0029609999999999,-0.097967,4.6999999999999984e-05,8.999999999999987e-06,0.000215,-0.0009019999999999,-0.0029759999999999,-0.097712,-6.300000000000001e-05,-1.2552629691260371e-20,0.000205,0.37903612785701407,-0.49799431660944743,-0.4187697023052507,0.4582607421612108,0.3894612082188799,-0.4819708262008627,-0.40408239382144046,0.4673496405983022,1.754529,0.404392,0.006753
10.03,-0.0007979999999999,-0.0030259999999999,-0.09784,2.5999999999999985e-05,5.999999999999987e-06,0.000223,-0.0008879999999999,-0.0029609999999999,-0.097967,4.6999999999999984e-05,8.999999999999987e-06,0.000215,0.3826096578703111,-0.49298521259309447,-0.41654784256041655,0.4590470279029891,0.37903612785701407,-0.49799431660944743,-0.4187697023052507,0.4582607421612108,1.75321,0.434565,-0.001046
11.03,-0.0009499999999999,-0.0034719999999999,-0.09784,-3.0000000000000136e-06,-2.000000000000013e-06,0.000219,-0.0007979999999999,-0.0030259999999999,-0.09784,2.5999999999999985e-05,5.999999999999987e-06,0.000223,0.38963972107982586,-0.4888189331403431,-0.40821195922266856,0.47024669499750044,0.3826096578703111,-0.49298521259309447,-0.41654784256041655,0.4590470279029891,1.748859,0.477623,-0.005561
