Time,V North,V East,V Down
0.0,1.822875,-0.991922,0.012332
1.0,1.948266,-0.832126,0.018738
2.01,2.001715,-0.69956,0.044056
3.01,2.026969,-0.621979,0.042064
4.01,2.032117,-0.56724,0.00566
5.01,2.040295,-0.497815,-0.043191
6.02,2.057569,-0.415526,-0.069141
7.02,2.066416,-0.348758,-0.06471
8.02,2.065628,-0.320051,-0.025098
9.02,2.068694,-0.349493,-0.004214
10.03,2.075148,-0.373389,-0.055277
11.03,2.077501,-0.327285,-0.110761
12.03,2.078699,-0.270222,-0.083773
13.03,2.078495,-0.273611,-0.025004
14.04,2.076736,-0.319106,-0.010145
15.04,2.071753,-0.343242,-0.049378
16.04,2.069272,-0.313082,-0.083129
17.04,2.075081,-0.272546,-0.06076
18.05,2.085388,-0.285949,-0.004104
19.05,2.082817,-0.347074,0.017322
20.05,2.065656,-0.385847,-0.01918
21.05,2.055053,-0.35455,-0.065409
22.06,2.059466,-0.300351,-0.0535
23.06,2.071513,-0.302895,0.013537
24.06,2.078187,-0.375601,0.047227
25.06,2.034358,-0.40788,-0.004485
26.07,2.10025,-0.234693,-0.062389
27.07,2.09834,-0.090779,-0.045074
28.07,2.101954,-0.045792,0.008636
29.07,2.105945,-0.066502,0.024079
30.08,2.098735,-0.083055,-0.006251
31.08,2.082834,-0.079288,-0.042898
32.08,2.078903,-0.086718,-0.022688
33.08,2.089871,-0.14529,0.025744
34.09,2.094283,-0.220229,0.034656
35.09,2.083022,-0.229132,0.004867
36.09,2.074755,-0.174122,0.003637
37.09,2.08213,-0.1127,0.045931
38.1,2.098729,-0.03801,0.063368
39.1,2.106135,0.089425,0.040151
40.1,2.094976,0.295469,0.00966
41.1,2.049833,0.548595,0.017092
42.11,1.967638,0.790121,0.056492
43.11,1.858729,0.991963,0.094229
44.11,1.724057,1.190757,0.084838
45.11,1.549324,1.404607,0.05509
46.12,1.334134,1.622146,0.034937
47.12,1.092366,1.802788,0.039518
48.12,0.833927,1.926596,0.050565
49.12,0.568889,2.002697,0.051631
50.13,0.297091,2.0453,0.043667
51.13,0.029778,2.069982,0.018936
52.13,-0.219894,2.081616,-0.009877
53.13,-0.441136,2.05279,-0.019465
54.14,-0.640503,1.984734,-0.013626
55.14,-0.849813,1.892805,-0.018079
56.14,-1.045762,1.801143,-0.041681
57.14,-1.210461,1.702504,-0.059336
58.15,-1.341097,1.618838,-0.076197
59.15,-1.43085,1.543281,-0.085449
60.15,-1.507709,1.452035,-0.076959
61.15,-1.597283,1.328021,-0.061461
62.16,-1.692476,1.191347,-0.048536
63.16,-1.773141,1.066563,-0.047124
64.16,-1.836355,0.961875,-0.062547
65.16,-1.886955,0.886521,-0.082607
66.17,-1.926967,0.838987,-0.086955
67.17,-1.953334,0.789975,-0.040188
68.17,-1.972517,0.697039,0.014626
69.17,-1.98527,0.589834,0.046118
70.18,-2.004136,0.527269,0.026757
71.18,-2.010776,0.544266,-0.012563
72.18,-2.021435,0.584,-0.012411
73.18,-2.015705,0.60735,0.020055
74.19,-2.012628,0.591959,0.067924
75.19,-2.000341,0.555042,0.074111
76.19,-1.982839,0.56269,0.035369
77.19,-1.95536,0.638413,0.009762
78.2,-1.936859,0.704591,0.035152
79.2,-1.936961,0.706844,0.080482
80.2,-1.945633,0.671461,0.074997
81.2,-1.93956,0.666162,0.032925
82.21,-1.924838,0.710183,0.000477
83.21,-1.913826,0.757683,0.005471
84.21,-1.911953,0.769464,0.029795
85.21,-1.917292,0.741958,0.037694
86.22,-1.920557,0.712543,0.014475
87.22,-1.919153,0.709047,-0.009241
88.22,-1.921696,0.719255,-0.013946
89.22,-1.933349,0.722887,-0.019975
90.23,-1.935458,0.720086,-0.024779
91.23,-1.927527,0.716988,-0.012108
92.23,-1.919969,0.695797,0.011136
93.23,-1.926552,0.656928,0.018459
94.24,-1.940201,0.633722,-0.003504
95.24,-1.955095,0.648948,-0.037776
96.24,-1.95331,0.699721,-0.055151
97.24,-1.940022,0.74051,-0.027068
98.25,-1.924946,0.722601,0.025867
99.25,-1.920275,0.666103,0.051937
100.25,-1.926005,0.625896,0.031542
101.25,-1.940763,0.637648,-0.017243
102.26,-1.953203,0.691303,-0.052818
103.26,-1.952352,0.741122,-0.041047
104.26,-1.934834,0.748263,0.003344
105.26,-1.911981,0.716597,0.047725
106.27,-1.911018,0.67112,0.044497
107.27,-1.924357,0.656203,-0.008056
108.27,-1.940405,0.679942,-0.045994
109.27,-1.949951,0.712905,-0.040815
110.28,-1.947468,0.725881,-0.008698
111.28,-1.933233,0.713617,0.016706
112.28,-1.920639,0.682856,0.027072
113.28,-1.923958,0.653513,0.024708
114.29,-1.943818,0.636635,0.010346
115.29,-1.955013,0.642711,-0.017099
116.29,-1.954323,0.678638,-0.025905
117.29,-1.942748,0.718327,-0.00262
118.3,-1.92604,0.715743,0.038629
119.3,-1.923014,0.675049,0.045035
120.3,-1.92852,0.659821,0.007462
121.3,-1.939886,0.688658,-0.029479
122.31,-1.937128,0.726913,-0.027241
123.31,-1.930831,0.724097,0.008017
124.31,-1.930217,0.681832,0.017149
125.31,-1.932011,0.65472,-0.003176
126.32,-1.941756,0.661786,-0.027983
127.32,-1.940756,0.687798,-0.035727
128.32,-1.934988,0.698262,-0.017387
129.32,-1.936052,0.687407,-0.001979
130.33,-1.943779,0.670404,-0.004906
131.33,-1.939576,0.666309,-0.025038
132.33,-1.929572,0.683252,-0.022333
133.33,-1.926427,0.709925,-0.016207
134.34,-1.921355,0.730005,-0.012479
135.34,-1.926514,0.729353,-0.006065
136.34,-1.926931,0.721152,-0.008094
137.34,-1.930238,0.707667,-0.006003
138.35,-1.925225,0.699759,-0.005359
139.35,-1.921565,0.681656,0.009046
140.35,-1.932624,0.651604,0.00312
141.35,-1.942837,0.65088,-0.024916
142.36,-1.956436,0.674419,-0.054157
143.36,-1.949847,0.711932,-0.057658
144.36,-1.933272,0.721227,-0.017599
145.36,-1.920212,0.685461,0.026974
146.37,-1.927428,0.632838,0.016833
147.37,-1.937374,0.625155,-0.036631
148.37,-1.946508,0.67074,-0.071328
149.37,-1.871367,0.734653,-0.05665
150.38,-1.76067,0.461187,-0.00756
