Time,V North,V East,V Down
0.0,-0.331027,2.046348,-0.040323
1.0,-0.328298,2.038827,-0.025974
2.01,-0.327866,2.035723,-0.018176
3.01,-0.330831,2.036161,-0.023101
4.01,-0.336403,2.03812,-0.031836
5.01,-0.342661,2.037218,-0.031616
6.02,-0.338762,2.034072,-0.023304
7.02,-0.33404,2.03223,-0.015782
8.02,-0.335107,2.03572,-0.021343
9.02,-0.340758,2.043292,-0.035292
10.03,-0.342438,2.050411,-0.034776
11.03,-0.335882,2.050288,-0.015082
12.03,-0.32438,2.039979,0.006326
13.03,-0.319609,2.024148,0.010078
14.04,-0.32495,2.019199,-0.000859
15.04,-0.336221,2.030843,-0.013857
16.04,-0.338745,2.053602,-0.020775
17.04,-0.336066,2.06627,-0.017361
18.05,-0.330952,2.056093,-0.002094
19.05,-0.325425,2.034297,0.017537
20.05,-0.32146,2.018663,0.028344
21.05,-0.32494,2.018606,0.020642
22.06,-0.335467,2.034732,-0.00239
23.06,-0.344993,2.0556,-0.017722
24.06,-0.345216,2.06679,-0.010622
25.06,-0.340298,2.057584,0.013329
26.07,-0.328944,2.036934,0.03191
27.07,-0.320025,2.017984,0.031658
28.07,-0.322552,2.014161,0.015161
29.07,-0.33331,2.029411,-0.008906
30.08,-0.342617,2.0505,-0.029948
31.08,-0.343552,2.06593,-0.0331
32.08,-0.338533,2.065512,-0.021461
33.08,-0.327585,2.048879,-0.006179
34.09,-0.31697,2.026751,0.003431
35.09,-0.318469,2.012091,-0.001318
36.09,-0.329807,2.014341,-0.023954
37.09,-0.337832,2.033223,-0.050679
38.1,-0.341277,2.056841,-0.064208
39.1,-0.335046,2.068336,-0.061917
40.1,-0.326301,2.058955,-0.036966
41.1,-0.322101,2.034477,-0.011533
42.11,-0.328217,2.01295,-0.001493
43.11,-0.342557,2.010061,-0.010824
44.11,-0.350164,2.029632,-0.030872
45.11,-0.338876,2.056417,-0.044374
46.12,-0.322589,2.064595,-0.033312
47.12,-0.313353,2.048768,-0.005368
48.12,-0.317072,2.024153,0.020321
49.12,-0.329327,2.012366,0.016748
50.13,-0.343733,2.021443,-0.009162
51.13,-0.350669,2.044386,-0.031166
52.13,-0.342053,2.061431,-0.030189
53.13,-0.327615,2.059218,-0.009313
54.14,-0.32052,2.038491,0.014138
55.14,-0.325681,2.016468,0.025704
56.14,-0.339044,2.010037,0.021247
57.14,-0.346124,2.018199,0.006119
58.15,-0.348351,2.031326,-0.010565
59.15,-0.345635,2.044032,-0.029275
60.15,-0.342517,2.051628,-0.032107
61.15,-0.334095,2.049795,-0.012047
62.16,-0.323798,2.037774,0.017729
63.16,-0.320072,2.019662,0.038149
64.16,-0.329958,2.006955,0.032488
65.16,-0.344362,2.011701,0.006776
66.17,-0.345784,2.031865,-0.017474
67.17,-0.334752,2.050658,-0.022411
68.17,-0.324656,2.05156,-0.002858
69.17,-0.319839,2.037882,0.023715
70.18,-0.321853,2.023348,0.033357
71.18,-0.327718,2.017716,0.020889
72.18,-0.338627,2.021875,0.006733
73.18,-0.348865,2.028399,0.002205
74.19,-0.343619,2.03294,0.009011
75.19,-0.325108,2.035907,0.020451
76.19,-0.314583,2.034314,0.030453
77.19,-0.321627,2.032361,0.038585
78.2,-0.337492,2.028883,0.040155
79.2,-0.34518,2.02309,0.036111
80.2,-0.343181,2.021308,0.036222
81.2,-0.334288,2.030364,0.035017
82.21,-0.321955,2.0403,0.034667
83.21,-0.313801,2.040375,0.034625
84.21,-0.31527,2.031003,0.032103
85.21,-0.323017,2.022824,0.028686
86.22,-0.331422,2.021295,0.024818
87.22,-0.332917,2.026089,0.017782
88.22,-0.326144,2.031885,0.00589
89.22,-0.319354,2.033411,-0.004922
90.23,-0.315209,2.032152,-0.019527
91.23,-0.315997,2.029348,-0.032427
92.23,-0.323144,2.030572,-0.037741
93.23,-0.329948,2.03461,-0.040571
94.24,-0.330931,2.033353,-0.047069
95.24,-0.329795,2.0239,-0.059063
96.24,-0.326779,2.016036,-0.06274
97.24,-0.32669,2.018723,-0.067729
98.25,-0.330083,2.029735,-0.075984
99.25,-0.333515,2.040439,-0.077585
100.25,-0.337772,2.043516,-0.07102
101.25,-0.33748,2.035194,-0.057845
102.26,-0.336231,2.024038,-0.047286
103.26,-0.332985,2.019598,-0.042703
104.26,-0.321452,2.025998,-0.038915
105.26,-0.309796,2.039748,-0.036571
106.27,-0.303434,2.051002,-0.030992
107.27,-0.307091,2.050453,-0.019169
108.27,-0.31334,2.042868,-0.001326
109.27,-0.317383,2.035964,0.012702
110.28,-0.318383,2.031054,0.018114
111.28,-0.31589,2.031466,0.021329
112.28,-0.313949,2.039434,0.024716
113.28,-0.315858,2.047869,0.028192
114.29,-0.324414,2.048172,0.038557
115.29,-0.338775,2.038888,0.051851
116.29,-0.348074,2.028336,0.062648
117.29,-0.347804,2.022664,0.060159
118.3,-0.334969,2.025983,0.05063
119.3,-0.324526,2.035824,0.038241
120.3,-0.319269,2.044648,0.025559
121.3,-0.322708,2.045851,0.019105
122.31,-0.33167,2.03964,0.017642
123.31,-0.337991,2.03333,0.02094
124.31,-0.340916,2.031028,0.016978
125.31,-0.341556,2.030931,0.003639
126.32,-0.336919,2.031723,-0.011993
127.32,-0.330427,2.034401,-0.019946
128.32,-0.325699,2.03702,-0.016383
129.32,-0.323479,2.039778,-0.011119
130.33,-0.322986,2.040842,-0.013087
131.33,-0.324323,2.040135,-0.027539
132.33,-0.32594,2.038392,-0.037609
133.33,-0.324431,2.041084,-0.034077
134.34,-0.31804,2.04689,-0.023651
135.34,-0.315042,2.044479,-0.009822
136.34,-0.3128,2.032923,-0.004371
137.34,-0.309898,2.022104,-0.009245
138.35,-0.311801,2.0254,-0.020899
139.35,-0.316015,2.041565,-0.030636
140.35,-0.324811,2.055889,-0.025757
141.35,-0.331455,2.057043,-0.010574
142.36,-0.331823,2.046522,0.007905
143.36,-0.326435,2.029858,0.018981
144.36,-0.325122,2.017749,0.020008
145.36,-0.328784,2.022724,0.01142
146.37,-0.331395,2.039748,0.00259
147.37,-0.336577,2.052381,0.000183
148.37,-0.337657,2.049089,0.008283
149.37,-0.334724,2.035801,0.02503
150.38,-0.330572,2.023362,0.030837
151.38,-0.335917,2.02016,0.018984
152.38,-0.342531,2.031569,0.002482
153.38,-0.347,2.05015,0.008322
154.39,-0.344319,2.057259,0.024251
155.39,-0.341153,2.042733,0.045868
156.39,-0.343348,2.015686,0.058002
157.39,-0.341988,2.00302,0.048846
158.4,-0.334565,2.01233,0.029654
159.4,-0.335536,2.03409,0.011606
160.4,-0.34063,2.051379,0.00875
161.4,-0.340209,2.057318,0.016308
162.41,-0.337404,2.046885,0.020106
163.41,-0.334727,2.026554,0.027091
164.41,-0.334504,2.014027,0.031222
165.41,-0.33416,2.014042,0.027898
166.42,-0.329053,2.022014,0.012898
167.42,-0.325676,2.028206,-0.00661
168.42,-0.327944,2.031938,-0.028709
169.42,-0.33092,2.03759,-0.040274
170.43,-0.330872,2.043362,-0.037189
171.43,-0.328125,2.039397,-0.02669
172.43,-0.325152,2.026573,-0.015534
173.43,-0.321192,2.015758,-0.009135
174.44,-0.322008,2.01308,-0.018297
175.44,-0.323256,2.02006,-0.036282
176.44,-0.32187,2.03113,-0.045254
177.44,-0.316183,2.039068,-0.04531
178.45,-0.315887,2.038991,-0.039981
179.45,-0.323251,2.03277,-0.035931
180.45,-0.334143,2.026143,-0.026282
181.45,-0.337008,2.021702,-0.018505
182.46,-0.332369,2.020562,-0.014469
183.46,-0.323482,2.020211,-0.016856
184.46,-0.323591,2.019781,-0.017532
