Time,V North,V East,V Down
0.0,1.425806,0.405357,0.003379
1.0,1.429812,0.414916,0.015234
2.01,1.439869,0.423692,0.009983
3.01,1.439121,0.443871,-0.010288
4.01,1.421278,0.476583,-0.023136
5.01,1.400079,0.509549,-0.012991
6.02,1.392952,0.523758,0.012874
7.02,1.400019,0.517786,0.027678
8.02,1.407519,0.511305,0.015532
9.02,1.401755,0.528239,-0.013487
10.03,1.383009,0.568822,-0.030344
11.03,1.366552,0.607486,-0.019656
12.03,1.360579,0.622212,0.005351
13.03,1.35962,0.620322,0.021099
14.04,1.356829,0.622469,0.017426
15.04,1.349932,0.639058,0.002578
16.04,1.341895,0.662339,-0.008433
17.04,1.33466,0.681787,-0.010199
18.05,1.32462,0.698344,-0.00813
19.05,1.311765,0.717162,-0.00723
20.05,1.2996,0.738162,-0.004939
21.05,1.291668,0.753264,0.001757
22.06,1.287318,0.760484,0.010091
23.06,1.284245,0.766566,0.009066
24.06,1.278092,0.778698,-0.004792
25.06,1.265674,0.799301,-0.019697
26.07,1.246596,0.82868,-0.024674
27.07,1.229765,0.854757,-0.013885
28.07,1.222418,0.865532,0.007373
29.07,1.218297,0.866412,0.024502
30.08,1.21507,0.866146,0.024011
31.08,1.207615,0.877842,0.002028
32.08,1.193695,0.903114,-0.024606
33.08,1.176965,0.931326,-0.029896
34.09,1.162062,0.955321,-0.009607
35.09,1.14893,0.968547,0.017021
36.09,1.14159,0.966175,0.028894
37.09,1.134157,0.964386,0.018698
38.1,1.122229,0.979189,-0.003989
39.1,1.107557,1.007364,-0.019966
40.1,1.076681,1.013824,-0.027511
41.1,1.128904,1.101538,0.000628
42.11,1.168253,1.165098,0.158418
43.11,1.068346,1.229411,0.25645
44.11,0.914184,1.374284,0.276883
45.11,0.747167,1.537658,0.342359
46.12,0.678805,1.667679,0.397138
47.12,0.702985,1.773769,0.449704
48.12,0.759362,1.859267,0.492067
49.12,0.808245,1.935722,0.521385
50.13,0.828613,2.014876,0.494675
51.13,0.84854,2.088413,0.418455
52.13,0.872734,2.152807,0.327045
