Trajectory,NumSamples,InputSize,EpochsTrained,AvgBestRMSE,TrainingTime
Trajectory1,397,22,100,0.05874332271574775,9.190016269683838
Trajectory2,397,22,100,0.02389759887350596,9.207928895950317
Trajectory3,397,22,100,0.018386783163863066,9.213104248046875
Trajectory4,397,22,100,0.03297252542005655,9.24303936958313
Trajectory5,397,22,100,0.017007003403777622,9.24498462677002
Trajectory6,397,22,100,0.018878508545172513,9.217725992202759
Trajectory7,397,22,100,0.0255279649055731,9.197806596755981
Trajectory8,397,22,100,0.030349793787247337,9.264630556106567
Trajectory9,397,22,100,0.030984044064085513,9.219271421432495
Trajectory10,397,22,100,0.012982568766203129,9.204020738601685
Trajectory11,397,22,100,0.03461331377968081,9.206126689910889
Trajectory12,397,22,100,0.007190397040995555,9.26162338256-836
