Time [s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
11:35:11.008,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.018,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.028,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.038,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.048,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.058,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.068,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.078,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.088,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.098,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.108,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.118,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.128,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.138,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.148,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.158,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.168,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.178,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.188,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.198,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.208,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.218,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.228,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.238,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.248,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.258,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.268,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.278,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.288,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.298,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.308,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.318,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.328,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.338,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.348,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.358,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.368,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.378,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.388,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.398,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.408,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.418,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.428,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.438,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.448,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.458,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.468,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.478,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.488,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.498,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.508,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.518,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.528,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.538,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.548,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.558,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.568,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.578,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.588,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.598,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.608,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.618,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.628,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.638,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.648,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.658,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.668,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:11.678,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
