Time,V North,V East,V Down
0.0,-1.957435,0.330125,-0.5533
1.0,-1.726225,0.577043,-0.511894
2.01,-1.461029,0.856127,-0.567698
3.01,,,
4.01,-0.743507,,
5.01,,1.461159,-0.492914
6.02,,,
7.02,,1.52012,-0.454044
8.02,,,
9.02,0.891983,1.346948,
10.03,,1.18117,
11.03,1.34423,,
12.03,,0.761055,-0.448165
13.03,,,
14.04,,,
15.04,1.844406,0.02754,
16.04,,,-0.523517
17.04,2.072583,,-0.562726
18.05,,-0.153195,-0.598224
19.05,2.265641,,
20.05,2.350201,,
21.05,2.427382,-0.154862,
22.06,2.493924,,
23.06,2.549886,,
24.06,,-0.199883,
25.06,,,-0.731217
26.07,2.672792,-0.193177,
27.07,,-0.209912,-0.720254
28.07,2.689358,,
29.07,,-0.267787,-0.727087
30.08,,,-0.726184
31.08,2.674787,,-0.725588
32.08,2.669902,,
33.08,,,
34.09,,-0.214498,
35.09,,,-0.74845
36.09,,-0.206968,
37.09,,-0.205894,-0.750681
38.1,2.626284,,-0.780685
39.1,2.625883,,-0.778391
40.1,2.62827,-0.132028,
41.1,2.629464,,
42.11,,-0.193785,
43.11,2.608788,-0.200784,
44.11,,-0.146494,-0.81487
45.11,,-0.107565,-0.70659
46.12,,,
47.12,2.680932,,
48.12,,,-0.262085
49.12,2.689495,,
50.13,2.673214,-0.223072,
51.13,,,
52.13,2.720675,,
53.13,2.70897,-0.136318,
54.14,,,
55.14,,,
56.14,,-0.274916,
57.14,,-0.267077,
58.15,2.696743,,
59.15,,,
60.15,,,
61.15,2.539224,,
62.16,2.375371,-0.287224,
63.16,,-0.543098,0.379086
64.16,,,
65.16,,,
66.17,1.193001,,0.376785
67.17,,,
68.17,,,
69.17,,,0.379872
70.18,,-1.123086,0.412614
71.18,-0.364214,-1.076122,
72.18,,-0.930678,0.293312
73.18,,,
74.19,-0.949367,,0.376284
75.19,,,
76.19,-1.23931,,0.416161
77.19,,,0.442192
78.2,,,
79.2,-1.581162,,0.468955
80.2,,,
81.2,-1.774557,,0.534186
82.21,-1.85017,,
83.21,-1.911073,,0.58412
84.21,-1.961406,,0.574066
85.21,-2.010191,,0.561815
86.22,,,
87.22,,,
88.22,-2.120043,,0.646419
89.22,,0.177287,
90.23,,,
91.23,-2.139174,0.182006,
92.23,-2.152007,,
93.23,,0.207116,0.629923
94.24,,,0.636682
95.24,-2.164926,,0.634798
96.24,-2.166607,,0.632946
97.24,,,
98.25,,,
99.25,,,
100.25,-2.193345,,
101.25,-2.195143,,
102.26,,0.222612,0.636121
103.26,-2.205157,,0.638392
104.26,-2.208821,0.210525,
105.26,,,
106.27,,,
107.27,,,
108.27,,0.21612,
109.27,-2.214718,,0.64081
110.28,,,
111.28,,,
112.28,,0.216436,0.646815
113.28,,0.206949,
114.29,-2.222202,,
115.29,,,
116.29,,,
117.29,,,
118.3,,0.185464,0.180584
119.3,,0.18999,0.116311
120.3,,,
121.3,,,0.053975
122.31,,0.189908,
123.31,,,
124.31,,0.210125,0.013047
125.31,-2.303474,,
126.32,,0.225039,
127.32,,,
128.32,,,0.00183
129.32,-2.304668,,-0.002671
130.33,,,
131.33,,,
132.33,,,
133.33,,0.283646,-0.006683
134.34,,0.297007,0.03004
135.34,,,
136.34,,0.416698,-0.551793
137.34,,,
138.35,,,
139.35,-0.940031,,
140.35,-0.577949,1.428081,
141.35,,1.523586,-0.476565
142.36,,1.564558,
143.36,0.45854,,-0.45587
144.36,0.765367,,
145.36,,,
146.37,1.251664,1.097767,
147.37,,0.889098,-0.444063
148.37,,,-0.442597
149.37,1.67177,,
150.38,1.800361,,-0.488967
151.38,,,
152.38,,,
153.38,2.137424,-0.143896,
154.39,,,
155.39,,-0.144813,-0.635573
156.39,2.401624,,-0.652121
157.39,2.471882,,-0.664002
158.4,,-0.192267,-0.684042
159.4,,-0.202803,
160.4,,,-0.73092
161.4,,,
162.41,2.675419,-0.193472,
163.41,,,
164.41,2.685696,,
165.41,2.679349,-0.270319,
166.42,,-0.27053,-0.734042
167.42,,,
168.42,,,
169.42,2.658432,,-0.746715
170.43,,,-0.760857
171.43,,,
172.43,2.635692,,
173.43,,,
174.44,2.62672,,
175.44,,-0.16055,
176.44,,-0.153734,-0.757086
177.44,,-0.17882,-0.741894
178.45,,-0.162658,
179.45,,,
180.45,2.63651,,-0.702678
181.45,2.612035,,-0.692663
182.46,,,
183.46,2.70193,,
184.46,,,-0.310447
185.46,2.658383,,-0.224877
186.47,,,
187.47,2.661187,-0.151345,
