Time,V North,V East,V Down
0.0,-1.13986,-0.099866,0.526628
1.0,-1.060675,-0.288946,0.439063
2.01,-0.958091,-0.421653,0.4085
3.01,-0.82556,-0.529422,0.429158
4.01,-0.702043,-0.653715,0.40326
5.01,-0.679313,-0.744877,0.253539
6.02,-0.719222,-0.695153,0.136613
7.02,-0.789528,-0.576377,0.079769
8.02,-0.888788,-0.425847,0.065811
9.02,-1.032624,-0.289299,0.086906
10.03,-1.169316,-0.253527,0.098983
11.03,-1.202333,-0.354016,0.076557
12.03,-1.229193,-0.562395,0.076129
13.03,-1.281389,-0.730324,0.118225
14.04,-1.371467,-0.853801,0.164144
15.04,-1.478646,-0.947773,0.172444
16.04,-1.574626,-1.023871,0.130731
17.04,-1.644406,-1.079527,0.074851
18.05,-1.709965,-1.105843,0.056149
19.05,-1.778898,-1.127202,0.071841
20.05,-1.842659,-1.169741,0.090711
21.05,-1.892008,-1.22365,0.073387
22.06,-1.929875,-1.272012,0.044327
23.06,-1.957867,-1.296763,0.018614
24.06,-1.988593,-1.287402,0.025218
25.06,-2.028331,-1.289765,0.054991
26.07,-2.062031,-1.325649,0.047735
27.07,-2.078476,-1.357164,0.014326
28.07,-2.094964,-1.365241,-0.006223
29.07,-2.113537,-1.356245,0.004618
30.08,-2.134174,-1.371596,0.027844
31.08,-2.14522,-1.394413,0.013292
32.08,-2.151195,-1.39771,-0.014773
33.08,-2.154801,-1.38696,-0.016685
34.09,-2.161566,-1.403173,0.006158
35.09,-2.169015,-1.419803,-0.018692
36.09,-2.176872,-1.400126,-0.027207
37.09,-2.185882,-1.395391,0.010251
38.1,-2.192397,-1.421496,0.00922
39.1,-2.189756,-1.419224,-0.016439
40.1,-2.18045,-1.410961,-0.008058
41.1,-2.175904,-1.427453,-0.002446
42.11,-2.182926,-1.430473,-0.029595
43.11,-2.195793,-1.394958,-0.015112
44.11,-2.197607,-1.403249,0.043309
45.11,-2.189885,-1.447248,0.008502
46.12,-2.177734,-1.432657,-0.035253
47.12,-2.176719,-1.408651,0.008855
48.12,-2.191962,-1.428991,0.026563
49.12,-2.192588,-1.438148,-0.015482
50.13,-2.1796,-1.427334,-0.011457
51.13,-2.169494,-1.436483,0.017984
52.13,-2.174426,-1.450576,0.001885
53.13,-2.155877,-1.421441,-0.015829
54.14,-1.976983,-1.19853,-0.009461
55.14,-2.071893,-0.866567,0.041789
56.14,-2.112096,-0.534916,0.032409
57.14,-2.134154,-0.188865,0.046829
58.15,-2.113715,0.100492,0.070276
59.15,-2.069252,0.303355,0.091856
60.15,-2.018594,0.435639,0.087558
61.15,-1.987793,0.518216,0.074777
62.16,-1.982561,0.560296,0.062439
63.16,-1.984725,0.56588,0.045262
64.16,-1.98758,0.548024,0.040699
65.16,-1.990228,0.510042,0.033006
66.17,-1.994291,0.448112,0.024469
