Time,V North,V East,V Down
1.0,-0.0108636686638823,0.0005960670578064,-0.0009841754030569
2.01,-0.0022112412649757,-0.0007535965050253,-0.010236525503103
3.01,-0.05701923370361328,0.09649044275283813,-0.04610111936926842
4.01,-0.04290451109409332,0.03793102502822876,-0.06881001591682434
5.01,-0.026789918541908264,-0.0008898377418518066,-0.06738968193531036
6.02,-0.01608586311340332,-0.01698470115661621,-0.04002024605870247
7.02,-0.013862758874893188,-0.023803293704986572,-0.03692685440182686
8.02,-0.015583589673042297,-0.023884356021881104,-0.05821027606725693
9.02,-0.013429522514343262,-0.023491621017456055,-0.05882149189710617
10.03,-0.007995307445526123,-0.03158092498779297,-0.029449742287397385
11.03,-0.0070822834968566895,-0.04307734966278076,-0.017722252756357193
12.03,-0.011839374899864197,-0.04484039545059204,-0.044636111706495285
13.03,-0.016215920448303223,-0.03357374668121338,-0.07905127108097076
14.04,-0.01462458074092865,-0.021898925304412842,-0.07668782770633698
15.04,-0.008756175637245178,-0.02459496259689331,-0.03808659315109253
16.04,-0.005960032343864441,-0.03967982530593872,-0.012245915830135345
17.04,-0.008848965167999268,-0.05080556869506836,-0.027153387665748596
18.05,-0.012675538659095764,-0.04890096187591553,-0.05703519657254219
19.05,-0.0126715749502182,-0.04089534282684326,-0.06252190470695496
20.05,-0.012018755078315735,-0.034360289573669434,-0.055546052753925323
21.05,-0.012714773416519165,-0.030620276927947998,-0.05570792406797409
22.06,-0.010563850402832031,-0.03378230333328247,-0.04359057918190956
23.06,-0.006225407123565674,-0.04705321788787842,-0.01694858819246292
24.06,-0.007458090782165527,-0.05787461996078491,-0.01967744156718254
25.06,-0.014062374830245972,-0.05190938711166382,-0.06006573140621185
26.07,-0.016925573348999023,-0.03524380922317505,-0.08551245927810669
27.07,-0.01416727900505066,-0.02388942241668701,-0.07288312911987305
28.07,-0.008192107081413269,-0.029398560523986816,-0.031177788972854614
29.07,-0.0036126524209976196,-0.05090737342834473,0.0048347339034080505
30.08,-0.007190629839897156,-0.06682372093200684,-0.01363949105143547
31.08,-0.01582343876361847,-0.0571901798248291,-0.07267044484615326
32.08,-0.017759427428245544,-0.03489452600479126,-0.09571780264377594
33.08,-0.010955095291137695,-0.027245819568634033,-0.05466015636920929
34.09,-0.005937233567237854,-0.03914749622344971,-0.011296767741441727
35.09,-0.008126497268676758,-0.05344796180725098,-0.01686088740825653
36.09,-0.01255786418914795,-0.0554119348526001,-0.05077540501952171
37.09,-0.013082444667816162,-0.048142969608306885,-0.06338819116353989
38.1,-0.011045590043067932,-0.04251408576965332,-0.05022900924086571
39.1,-0.009024456143379211,-0.04490947723388672,-0.0303952656686306
40.1,-0.010207995772361755,-0.04971355199813843,-0.03343877196311951
41.1,-0.013698667287826538,-0.04674595594406128,-0.057945676147937775
42.11,-0.014047756791114807,-0.038718581199645996,-0.06637812405824661
43.11,-0.009221822023391724,-0.040110230445861816,-0.037664175033569336
