Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
9,1,5,0.012,0.0,60,70,2,41.44,0.4282687180098578
9,1,5,0.013200000000000002,0.0,80,75,3,47.19,0.3845029716381171
9,1,3,0.014520000000000003,0.0,100,70,4,44.16,0.374701671569877
9,1,3,0.015972000000000004,0.0,120,75,5,47.42,0.3635878947642413
9,2,2,0.017569200000000007,0.0,140,70,6,44.95,0.36993957856558973
9,2,2,0.01932612000000001,0.0,150,75,7,48.18,0.31492536792763215
9,1,4,0.021258732000000013,0.0,150,70,8,44.65,0.27403671712830346
9,1,4,0.023384605200000016,0.0,150,75,9,47.71,0.2650090099387501
6,1,5,0.025723065720000018,0.0,150,70,10,44.86,0.1520348385210049
6,1,5,0.02829537229200002,0.0,150,75,11,47.69,0.1520348385210049
6,1,3,0.031124909521200027,0.0,150,70,12,44.58,0.1654997349620445
6,1,3,0.03423740047332003,0.0,150,75,13,48.17,0.12709739584547278
6,2,2,0.03766114052065204,0.0,150,70,14,44.56,0.13608511046491104
6,2,2,0.041427254572717245,0.0,150,75,15,48.23,0.13608511046491104
6,1,4,0.04556998002998897,0.0,150,70,16,45.11,0.11158423330690231
6,1,4,0.05012697803298787,0.0,150,75,17,47.79,0.11158423330690231
13,1,5,0.055139675836286664,0.0,150,70,18,45.4,0.10497169763216416
13,1,5,0.06065364341991534,0.0,150,75,19,47.5,0.10497169763216416
13,1,3,0.06671900776190688,0.0,150,70,20,45.22,0.10487239113617598
13,1,3,0.07339090853809757,0.0,150,75,21,47.92,0.09662471057054776
13,2,2,0.08072999939190734,0.0,150,70,22,44.93,0.10623799162467146
13,2,2,0.08880299933109807,0.0,150,75,23,47.98,0.07259952625525605
13,1,4,0.09768329926420789,0.0,150,70,24,44.82,0.11308164094364218
13,1,4,0.10745162919062869,0.0,150,75,25,47.77,0.10555183375817898
12,1,5,0.11819679210969157,0.0,150,70,26,44.52,0.05277363881948543
12,1,5,0.13001647132066074,0.0,150,75,27,47.79,0.05277363881948543
12,1,3,0.14301811845272683,0.0,150,70,28,44.52,0.05173393124064589
12,1,3,0.1573199302979995,0.0,150,75,29,47.85,0.03556486569181845
12,2,2,0.1573199302979995,0.0,150,70,29,45.33,0.06306558674402821
12,2,2,0.17305192332779948,0.0,150,75,30,48.2,0.054974162503865234
12,1,4,0.19035711566057945,0.0,150,70,31,44.8,0.06815037364860181
12,1,4,0.2093928272266374,0.0,150,75,32,48.1,0.06815037364860181
3,1,5,0.23033210994930117,0.0,150,70,33,45.35,0.06469141642306596
3,1,5,0.2533653209442313,0.0,150,75,34,47.67,0.03859306670187387
3,1,3,0.2533653209442313,0.0,150,70,34,44.66,0.07633079837213545
3,1,3,0.27870185303865447,0.0,150,75,35,48.59,0.07260513756235353
3,2,2,0.30657203834251995,0.0,150,70,36,44.54,0.2057183175863021
3,2,2,0.33722924217677197,0.0,150,75,37,47.86,0.04685519325161727
3,1,4,0.33722924217677197,0.0,150,70,37,44.48,0.042090657915360444
4,1,5,0.33722924217677197,0.0,150,70,37,44.93,0.7483677430390856
4,1,5,0.3709521663944492,0.0,150,75,38,47.97,0.7483677430390856
4,1,3,0.40804738303389415,0.0,150,70,39,44.53,0.11347802772311763
4,1,3,0.4488521213372836,0.0,150,75,40,47.91,0.11347802772311763
4,2,2,0.493737333471012,0.0,150,70,41,44.76,0.2840932381847193
4,2,2,0.5431110668181133,0.0,150,75,42,48.76,0.20710092104428865
4,1,4,0.5974221734999247,0.0,150,70,43,45.39,1.3137807794387761
4,1,4,0.6571643908499172,0.0,150,75,44,47.77,1.3137807794387761
2,1,5,0.722880829934909,0.0,150,70,45,44.33,1.7985211809907227
2,1,5,0.7951689129284,0.0,150,75,46,47.96,1.7985211809907227
2,1,3,0.8746858042212401,0.0,150,70,47,44.72,2.265646380340559
2,1,3,0.9621543846433642,0.0,150,75,48,48.13,2.265646380340559
2,2,2,1.0583698231077008,0.0,150,70,49,44.86,2.324093468680546
2,2,2,1.1642068054184709,0.0,150,75,50,47.86,2.324093468680546
2,1,4,1.2806274859603182,0.0,150,70,51,44.74,3.192452654686153
2,1,4,1.4086902345563501,0.0,150,75,52,47.87,3.192452654686153
7,1,5,1.5495592580119852,0.0,150,70,53,44.84,3.859576906576605
7,1,5,1.704515183813184,0.0,150,75,54,47.7,3.859576906576605
7,1,3,1.8749667021945025,0.0,150,70,55,44.69,5.0616798343038605
7,1,3,2.0624633724139527,0.0,150,75,56,47.96,5.0616798343038605
7,2,2,2.268709709655348,0.0,150,70,57,45.74,5.669280915797431
7,2,2,2.495580680620883,0.0,150,75,58,47.87,5.669280915797431
7,1,4,2.7451387486829715,0.0,150,70,59,44.79,7.998298201449904
7,1,4,3.019652623551269,0.0,150,75,60,47.66,7.998298201449904
11,1,5,3.321617885906396,0.0,150,70,61,44.76,9.26492857921027
11,1,5,3.653779674497036,0.0,150,75,62,47.91,9.26492857921027
11,1,3,4.01915764194674,0.0,150,70,63,44.72,9.757464848803068
11,1,3,4.4210734061414145,0.0,150,75,64,49.17,9.757464848803068
11,2,2,4.863180746755557,0.0,150,70,65,44.77,13.746882783043281
11,2,2,5.349498821431113,0.0,150,75,66,48.19,13.746882783043281
11,1,4,5.884448703574225,0.0,150,70,67,44.76,15.866052553723794
11,1,4,6.472893573931647,0.0,150,75,68,48.08,15.866052553723794
5,1,5,7.120182931324813,0.0,150,70,69,44.59,16.602954801043197
5,1,5,7.832201224457295,0.0,150,75,70,47.69,16.602954801043197
5,1,3,8.615421346903025,0.0,150,70,71,45.01,22.23676541923861
5,1,3,9.476963481593328,0.0,150,75,72,48.04,22.23676541923861
5,2,2,10.424659829752661,0.0,150,70,73,45.16,25.216280914576938
5,2,2,11.467125812727929,0.0,150,75,74,48.06,25.216280914576938
5,1,4,12.613838394000723,0.0,150,70,75,45.03,34.28880411022863
5,1,4,13.875222233400796,0.0,150,75,76,48.81,34.28880411022863
8,1,5,15.262744456740878,0.0,150,70,77,44.7,36.05587057823587
8,1,5,16.789018902414966,0.0,150,75,78,47.71,36.05587057823587
8,1,3,18.467920792656464,0.0,150,70,79,44.54,50.86587244022277
8,1,3,20.31471287192211,0.0,150,75,80,48.22,50.86587244022277
8,2,2,22.346184159114326,0.0,150,70,81,44.82,51.06096801715924
8,2,2,24.58080257502576,0.0,150,75,82,48.01,51.06096801715924
8,1,4,27.03888283252834,0.0,150,70,83,44.7,70.2273705339826
8,1,4,29.742771115781178,0.0,150,75,84,47.99,70.2273705339826
1,1,3,32.7170482273593,0.0,150,70,85,45.05,71.27503239464905
1,1,3,35.988753050095234,0.0,150,75,86,48.2,71.27503239464905
10,1,5,39.58762835510476,0.0,150,70,87,44.64,86.87137443561991
10,1,5,43.54639119061524,0.0,150,75,88,47.81,86.87137443561991
10,1,3,47.90103030967677,0.0,150,70,89,44.71,118.95965041826464
10,1,3,52.69113334064445,0.0,150,75,90,47.94,118.95965041826464
10,2,2,57.9602466747089,0.0,150,70,91,45.13,128.87746503283464
10,2,2,63.756271342179794,0.0,150,75,92,48.04,128.87746503283464
10,1,4,70.13189847639778,0.0,150,70,93,44.37,197.53448975055684
10,1,4,77.14508832403756,0.0,150,75,94,47.91,197.53448975055684
