ID,Trajectory,Learning Rate 1,Learning Rate 2,Stacking Count,6(),4(),Best RMSE Loss,Time Taken,File Name
1,Trajectory1,0.0012,0.0005,1,1,3,0.38055634178971287,51.06374144554138,../../../Data\Trajectory1\combined_1_3.csv
2,Trajectory1,0.0012,0.0005,1,1,4,0.3689418204809526,51.31332516670227,../../../Data\Trajectory1\combined_1_4.csv
3,Trajectory1,0.0012,0.0005,2,2,2,0.3781654283869825,51.53080439567566,../../../Data\Trajectory1\combined_2_2.csv
4,Trajectory2,0.0012,0.0005,1,1,3,0.5346732180729113,55.500592947006226,../../../Data\Trajectory2\combined_1_3.csv
5,Trajectory2,0.0012,0.0005,1,1,4,0.4726697286959016,85.47171258926392,../../../Data\Trajectory2\combined_1_4.csv
6,Trajectory2,0.0012,0.0005,2,2,2,0.5566977027768673,68.1223030090332,../../../Data\Trajectory2\combined_2_2.csv
7,Trajectory3,0.0012,0.0005,1,1,3,0.32084169525790096,51.428942918777466,../../../Data\Trajectory3\combined_1_3.csv
8,Trajectory3,0.0012,0.0005,1,1,4,0.31915010521984066,55.142167806625366,../../../Data\Trajectory3\combined_1_4.csv
9,Trajectory3,0.0012,0.0005,2,2,2,0.361426046832387,51.29518699645996,../../../Data\Trajectory3\combined_2_2.csv
10,Trajectory4,0.0012,0.0005,1,1,3,0.7812262318293399,51.14254593849182,../../../Data\Trajectory4\combined_1_3.csv
11,Trajectory4,0.0012,0.0005,1,1,4,0.7081015374476763,50.21126461029053,../../../Data\Trajectory4\combined_1_4.csv
12,Trajectory4,0.0012,0.0005,2,2,2,0.8452433898235544,51.63353657722473,../../../Data\Trajectory4\combined_2_2.csv
13,Trajectory5,0.0012,0.0005,1,1,3,0.48690606848809626,50.24419569969177,../../../Data\Trajectory5\combined_1_3.csv
14,Trajectory5,0.0012,0.0005,1,1,4,0.4126251704227701,51.70890259742737,../../../Data\Trajectory5\combined_1_4.csv
15,Trajectory5,0.0012,0.0005,2,2,2,0.5490014378086762,50.91571927070618,../../../Data\Trajectory5\combined_2_2.csv
