Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
9,1,5,0.012,0.0,60,70,2,41.74,0.4282687180098578
9,1,5,0.013200000000000002,0.0,80,75,3,48.39,0.3845029716381171
9,1,5,0.014520000000000003,0.0,100,80,4,52.07,0.34941565161875704
9,1,3,0.012,0.0,60,70,2,46.03,0.549498817609488
9,1,3,0.013200000000000002,0.0,80,75,3,47.57,0.4157895782948893
9,1,3,0.014520000000000003,0.0,100,80,4,51.52,0.34453882673869907
9,2,2,0.012,0.0,60,70,2,44.8,0.4537310971931499
9,2,2,0.013200000000000002,0.0,80,75,3,50.06,0.4233523257475533
9,2,2,0.014520000000000003,0.0,100,80,4,53.03,0.3845692337966624
9,1,4,0.012,0.0,60,70,2,46.34,0.4340597670077666
9,1,4,0.013200000000000002,0.0,80,75,3,49.3,0.3817845408314881
9,1,4,0.014520000000000003,0.0,100,80,4,51.35,0.3817845408314881
6,1,5,0.012,0.0,60,70,2,46.6,0.27209276323421083
6,1,5,0.013200000000000002,0.0,80,75,3,48.06,0.27209276323421083
6,1,5,0.014520000000000003,0.0,100,80,4,49.74,0.23679906770500073
6,1,3,0.012,0.0,60,70,2,43.75,0.2902638770969352
6,1,3,0.013200000000000002,0.0,80,75,3,47.43,0.28730187147845904
6,1,3,0.014520000000000003,0.0,100,80,4,50.0,0.26065624716912117
6,2,2,0.012,0.0,60,70,2,44.41,0.2992380977399404
6,2,2,0.013200000000000002,0.0,80,75,3,46.92,0.286467167601438
6,2,2,0.014520000000000003,0.0,100,80,4,50.05,0.286467167601438
6,1,4,0.012,0.0,60,70,2,43.61,0.2914017619972404
6,1,4,0.013200000000000002,0.0,80,75,3,47.06,0.28142009107059335
6,1,4,0.014520000000000003,0.0,100,80,4,49.98,0.2625760747791474
13,1,5,0.012,0.0,60,70,2,43.3,0.08517470800647062
13,1,5,0.013200000000000002,0.0,80,75,3,46.68,0.08246781949227919
13,1,5,0.014520000000000003,0.0,100,80,4,49.73,0.07785961238914463
13,1,3,0.012,0.0,60,70,2,43.61,0.03422394805874387
13,2,2,0.012,0.0,60,70,2,43.82,0.038730493064972574
13,1,4,0.012,0.0,60,70,2,43.49,0.04027956820526158
12,1,5,0.012,0.0,60,70,2,43.61,0.041125181913410726
12,1,3,0.012,0.0,60,70,2,44.02,0.0385808606112132
12,2,2,0.012,0.0,60,70,2,43.89,0.03582938568849825
12,1,4,0.012,0.0,60,70,2,43.75,0.04037142398412853
3,1,5,0.012,0.0,60,70,2,43.77,0.2487898733054229
