Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Layers,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
9,1,5,0.001,0.0,4,60,70,2,41.43,0.792643566080443
9,1,5,0.0011,0.0,5,80,75,3,51.84,0.792643566080443
9,1,5,0.0012100000000000001,0.0,6,100,80,4,61.01,0.792643566080443
9,1,5,0.0013310000000000002,0.0,7,120,85,5,70.93,0.7380950798332387
9,1,3,0.001,0.0,4,60,70,2,44.3,0.7847223579713836
9,1,3,0.0011,0.0,5,80,75,3,52.07,0.7847223579713836
9,1,3,0.0012100000000000001,0.0,6,100,80,4,59.76,0.7847223579713836
9,1,3,0.0013310000000000002,0.0,7,120,85,5,69.72,0.748318368580139
9,2,2,0.001,0.0,4,60,70,2,43.11,0.8563628057135344
9,2,2,0.0011,0.0,5,80,75,3,50.72,0.7753387928111668
9,2,2,0.0012100000000000001,0.0,6,100,80,4,60.35,0.7561367126151669
9,2,2,0.0013310000000000002,0.0,7,120,85,5,69.76,0.7001643746007372
9,1,4,0.001,0.0,4,60,70,2,42.77,0.8135925581773927
9,1,4,0.0011,0.0,5,80,75,3,50.76,0.8033761986529134
9,1,4,0.0012100000000000001,0.0,6,100,80,4,59.51,0.6898363276263766
9,1,4,0.0013310000000000002,0.0,7,120,85,5,69.59,0.6898363276263766
6,1,5,0.001,0.0,4,60,70,2,42.67,0.4419049935508193
6,1,5,0.0011,0.0,5,80,75,3,50.42,0.42641145651963974
6,1,5,0.0012100000000000001,0.0,6,100,80,4,59.5,0.3408526910739325
6,1,5,0.0013310000000000002,0.0,7,120,85,5,69.38,0.3408526910739325
6,1,3,0.001,0.0,4,60,70,2,42.67,0.41894988870968264
6,1,3,0.0011,0.0,5,80,75,3,50.88,0.4029776070881455
6,1,3,0.0012100000000000001,0.0,6,100,80,4,60.07,0.33170699484270916
6,1,3,0.0013310000000000002,0.0,7,120,85,5,70.5,0.33170699484270916
6,2,2,0.001,0.0,4,60,70,2,43.0,0.40792338129425126
6,2,2,0.0011,0.0,5,80,75,3,51.03,0.39773342588395255
6,2,2,0.0012100000000000001,0.0,6,100,80,4,59.92,0.3247055175683993
6,2,2,0.0013310000000000002,0.0,7,120,85,5,69.95,0.3247055175683993
6,1,4,0.001,0.0,4,60,70,2,42.83,0.42381317530629886
6,1,4,0.0011,0.0,5,80,75,3,50.6,0.39295492250151154
6,1,4,0.0012100000000000001,0.0,6,100,80,4,59.89,0.364111225975911
6,1,4,0.0013310000000000002,0.0,7,120,85,5,69.44,0.364111225975911
13,1,5,0.001,0.0,4,60,70,2,42.6,0.048643818443386715
13,1,3,0.001,0.0,4,60,70,2,42.73,0.0493581645937268
13,2,2,0.001,0.0,4,60,70,2,43.0,0.04859188887601911
13,1,4,0.001,0.0,4,60,70,2,42.76,0.05036397321230142
13,1,4,0.0011,0.0,5,80,75,3,50.35,0.05036397321230142
13,1,4,0.0012100000000000001,0.0,6,100,80,4,59.6,0.05036397321230142
13,1,4,0.0013310000000000002,0.0,7,120,85,5,69.51,0.05036397321230142
12,1,5,0.001,0.0,4,60,70,2,42.6,0.05378505597602101
12,1,5,0.0011,0.0,5,80,75,3,50.46,0.048251394272487834
12,1,3,0.001,0.0,4,60,70,2,42.59,0.05328404718655991
12,1,3,0.0011,0.0,5,80,75,3,50.72,0.04768487279724994
12,2,2,0.001,0.0,4,60,70,2,42.99,0.052729667040962595
12,2,2,0.0011,0.0,5,80,75,3,50.92,0.04728391315816933
12,1,4,0.001,0.0,4,60,70,2,42.81,0.051938770737301174
12,1,4,0.0011,0.0,5,80,75,3,51.03,0.04851675797971581
3,1,5,0.001,0.0,4,60,70,2,42.62,0.23122561463384692
3,1,5,0.0011,0.0,5,80,75,3,50.42,0.23122561463384692
3,1,5,0.0012100000000000001,0.0,6,100,80,4,59.39,0.23122561463384692
