Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,ACC X_1,ACC Y_1,ACC Z_1,GYRO X_1,GYRO Y_1,GYRO Z_1,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,V North,V East,V Down
2.01,2.8000000000005997e-05,-0.0049869999999999,-0.097885,-2.200000000000001e-05,2.4999999999999994e-05,0.000107,2.2000000000006e-05,-0.0048709999999999,-0.097929,4.5e-05,-6.000000000000007e-06,0.00011,0.4487677081039794,-0.5408664685895688,-0.3841817424574272,0.6054524342361212,0.44267048123375186,-0.5424592685084656,-0.3818652517674309,0.6032644979747865,-0.129714,2.052231,0.012997
3.01,3.0000000000059937e-06,-0.0052839999999999,-0.097884,-3.5000000000000004e-05,3.699999999999999e-05,0.0001,2.8000000000005997e-05,-0.0049869999999999,-0.097885,-2.200000000000001e-05,2.4999999999999994e-05,0.000107,0.4389368003674287,-0.5513397595955312,-0.3974647752673085,0.5928117846956515,0.4487677081039794,-0.5408664685895688,-0.3841817424574272,0.6054524342361212,-0.155236,2.048738,0.012651
4.01,0.000387,-0.0050399999999999,-0.098019,-8.000000000000006e-06,2.9999999999999937e-06,0.000103,3.0000000000059937e-06,-0.0052839999999999,-0.097884,-3.5000000000000004e-05,3.699999999999999e-05,0.0001,0.439264516098803,-0.5579877077072174,-0.4055981032404857,0.5916541205655347,0.4389368003674287,-0.5513397595955312,-0.3974647752673085,0.5928117846956515,-0.181502,2.049462,0.005895
5.01,0.000274,-0.0049599999999999,-0.097829,-1.6000000000000006e-05,9.999999999999994e-06,0.000105,0.000387,-0.0050399999999999,-0.098019,-8.000000000000006e-06,2.9999999999999937e-06,0.000103,0.4249904574429615,-0.5694315588037842,-0.41630785025465317,0.5781141659920925,0.439264516098803,-0.5579877077072174,-0.4055981032404857,0.5916541205655347,-0.206361,2.051174,-0.002626
6.02,7.1000000000006e-05,-0.0053539999999999,-0.097804,-6.000000000000006e-06,-9.000000000000005e-06,9.1e-05,0.000274,-0.0049599999999999,-0.097829,-1.6000000000000006e-05,9.999999999999994e-06,0.000105,0.4187848952931233,-0.576351577254691,-0.4197353722560869,0.5754011002917273,0.4249904574429615,-0.5694315588037842,-0.41630785025465317,0.5781141659920925,-0.229534,2.052187,-0.01049
7.02,0.000143,-0.0048429999999999,-0.09766,-3.300000000000001e-05,-9.000000000000005e-06,8.4e-05,7.1000000000006e-05,-0.0053539999999999,-0.097804,-6.000000000000006e-06,-9.000000000000005e-06,9.1e-05,0.4307672696243923,-0.5647082354149341,-0.4105501161139325,0.5849253889253938,0.4187848952931233,-0.576351577254691,-0.4197353722560869,0.5754011002917273,-0.24393,2.054835,-0.015154
8.02,9.000000000000598e-05,-0.0045609999999999,-0.097584,3.3e-05,-5.0000000000000055e-06,8.9e-05,0.000143,-0.0048429999999999,-0.09766,-3.300000000000001e-05,-9.000000000000005e-06,8.4e-05,0.4447996795223206,-0.5510867962177914,-0.393783780696589,0.6021026950435231,0.4307672696243923,-0.5647082354149341,-0.4105501161139325,0.5849253889253938,-0.256067,2.055187,-0.009407
9.02,-0.0002079999999999,-0.0048769999999999,-0.097533,-7.000000000000006e-06,6.999999999999994e-06,9.3e-05,9.000000000000598e-05,-0.0045609999999999,-0.097584,3.3e-05,-5.0000000000000055e-06,8.9e-05,0.4544000706134471,-0.5354701664357522,-0.3840533493131163,0.6058168877360832,0.4447996795223206,-0.5510867962177914,-0.393783780696589,0.6021026950435231,-0.275081,2.050059,0.007223
10.03,-7.999999999994015e-06,-0.0047579999999999,-0.097748,-1.1000000000000006e-05,3.3e-05,9.7e-05,-0.0002079999999999,-0.0048769999999999,-0.097533,-7.000000000000006e-06,6.999999999999994e-06,9.3e-05,0.45871424022950796,-0.5352455277359404,-0.3922872573806473,0.601672510584801,0.4544000706134471,-0.5354701664357522,-0.3840533493131163,0.6058168877360832,-0.301233,2.038341,0.018332
11.03,0.000351,-0.0051869999999999,-0.097814,7.6e-05,3.0999999999999995e-05,9e-05,-7.999999999994015e-06,-0.0047579999999999,-0.097748,-1.1000000000000006e-05,3.3e-05,9.7e-05,0.4363123050946301,-0.5544846722162549,-0.40833507802570157,0.5824618992851833,0.45871424022950796,-0.5352455277359404,-0.3922872573806473,0.601672510584801,-0.330352,2.026567,0.015855
