Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,DVL2_1,DVL2_2,DVL2_3,DVL2_4,DVL3_1,DVL3_2,DVL3_3,DVL3_4,V North,V East,V Down
4.01,0.000122,-0.0021829999999999,-0.097848,3.999999999999991e-06,-2.800000000000001e-05,0.000141,0.343187314588266,-0.3822747958501364,-0.3653624662384601,0.36009964419994234,0.3227714638921879,-0.4028335453833769,-0.3718995844727489,0.35370542480281597,0.33814960775321357,-0.3931864246153724,-0.354610838505873,0.37672519386271297,0.35508113378999206,-0.3756179349337134,-0.3349332779613744,0.39576579076233104,1.421278,0.476583,-0.023136
5.01,-0.0001629999999999,-0.0022459999999999,-0.097461,-0.00011,-3.600000000000001e-05,0.000104,0.36855970145299605,-0.3538802087937196,-0.33097574759162535,0.3914641626550904,0.343187314588266,-0.3822747958501364,-0.3653624662384601,0.36009964419994234,0.3227714638921879,-0.4028335453833769,-0.3718995844727489,0.35370542480281597,0.33814960775321357,-0.3931864246153724,-0.354610838505873,0.37672519386271297,1.400079,0.509549,-0.012991
6.02,-0.0002449999999999,-0.0016319999999999,-0.097713,-5.9e-05,6.999999999999993e-06,0.000104,0.37393286189114966,-0.35541768985005495,-0.313317207077184,0.4160333446640206,0.36855970145299605,-0.3538802087937196,-0.33097574759162535,0.3914641626550904,0.343187314588266,-0.3822747958501364,-0.3653624662384601,0.36009964419994234,0.3227714638921879,-0.4028335453833769,-0.3718995844727489,0.35370542480281597,1.392952,0.523758,0.012874
7.02,1.2000000000006007e-05,-0.0016329999999999,-0.098094,1.6999999999999993e-05,4.1e-05,0.000136,0.34652301667668706,-0.37807417588321285,-0.3204906624421568,0.4041065301177431,0.37393286189114966,-0.35541768985005495,-0.313317207077184,0.4160333446640206,0.36855970145299605,-0.3538802087937196,-0.33097574759162535,0.3914641626550904,0.343187314588266,-0.3822747958501364,-0.3653624662384601,0.36009964419994234,1.400019,0.517786,0.027678
8.02,0.000424,-0.0015329999999999,-0.098266,5.299999999999999e-05,3.499999999999998e-05,0.000169,0.32177012956611933,-0.4058622570443919,-0.3535699509321061,0.3740624356784052,0.34652301667668706,-0.37807417588321285,-0.3204906624421568,0.4041065301177431,0.37393286189114966,-0.35541768985005495,-0.313317207077184,0.4160333446640206,0.36855970145299605,-0.3538802087937196,-0.33097574759162535,0.3914641626550904,1.407519,0.511305,0.015532
9.02,0.000486,-0.0019759999999999,-0.098169,9.7e-05,-2.00000000000001e-06,0.000168,0.3117166119031009,-0.41261138870364933,-0.3704442406692977,0.3538837599374525,0.32177012956611933,-0.4058622570443919,-0.3535699509321061,0.3740624356784052,0.34652301667668706,-0.37807417588321285,-0.3204906624421568,0.4041065301177431,0.37393286189114966,-0.35541768985005495,-0.313317207077184,0.4160333446640206,1.401755,0.528239,-0.013487
10.03,0.000242,-0.0022019999999999,-0.097718,-1.600000000000001e-05,-3.2000000000000005e-05,0.000143,0.3324838286116793,-0.39275709592890684,-0.36427361335443065,0.3609673111861555,0.3117166119031009,-0.41261138870364933,-0.3704442406692977,0.3538837599374525,0.32177012956611933,-0.4058622570443919,-0.3535699509321061,0.3740624356784052,0.34652301667668706,-0.37807417588321285,-0.3204906624421568,0.4041065301177431,1.383009,0.568822,-0.030344
11.03,-0.0001339999999999,-0.0022779999999999,-0.097642,-5.4000000000000005e-05,-3.100000000000001e-05,0.000109,0.3555665639974335,-0.3732977462130905,-0.33925155272568625,0.3896127574848377,0.3324838286116793,-0.39275709592890684,-0.36427361335443065,0.3609673111861555,0.3117166119031009,-0.41261138870364933,-0.3704442406692977,0.3538837599374525,0.32177012956611933,-0.4058622570443919,-0.3535699509321061,0.3740624356784052,1.366552,0.607486,-0.019656
12.03,-0.0003799999999999,-0.0018919999999999,-0.097675,-6.700000000000002e-05,1.9999999999999927e-06,0.000119,0.3624019756797193,-0.36419002264466344,-0.31714799202178384,0.4094440063025989,0.3555665639974335,-0.3732977462130905,-0.33925155272568625,0.3896127574848377,0.3324838286116793,-0.39275709592890684,-0.36427361335443065,0.3609673111861555,0.3117166119031009,-0.41261138870364933,-0.3704442406692977,0.3538837599374525,1.360579,0.622212,0.005351
13.03,-0.0002399999999999,-0.0016959999999999,-0.097866,4.599999999999999e-05,2.0999999999999992e-05,0.000137,0.3487978303441597,-0.37614637124531614,-0.31891817001690737,0.40602603157256845,0.3624019756797193,-0.36419002264466344,-0.31714799202178384,0.4094440063025989,0.3555665639974335,-0.3732977462130905,-0.33925155272568625,0.3896127574848377,0.3324838286116793,-0.39275709592890684,-0.36427361335443065,0.3609673111861555,1.35962,0.620322,0.021099
14.04,6.5000000000006e-05,-0.0018079999999999,-0.09812,5.3e-05,2.699999999999999e-05,0.000153,0.33967314480156197,-0.3894467407687033,-0.3329683403255219,0.3961515452447434,0.3487978303441597,-0.37614637124531614,-0.31891817001690737,0.40602603157256845,0.3624019756797193,-0.36419002264466344,-0.31714799202178384,0.4094440063025989,0.3555665639974335,-0.3732977462130905,-0.33925155272568625,0.3896127574848377,1.356829,0.622469,0.017426
